Date,Close,Open,High,Low,Change,Change Classification,Value,Value_Classification,BTC_Closing,BTC_Volume
2023-01-01,16618.4,16537.5,16621.9,16499.7,0.0049,Stable,26.0,Fear,16625.080078125,9244361700
2023-01-02,16674.3,16618.4,16766.9,16551.0,0.0034,Stable,27.0,Fear,16688.470703125,12097775227
2023-01-03,16674.2,16673.1,16773.2,16607.2,-0.0,Stable,26.0,Fear,16679.857421875,13903079207
2023-01-04,16852.1,16674.2,16976.5,16656.5,0.0107,Up,29.0,Fear,16863.23828125,18421743322
2023-01-05,16829.8,16852.2,16877.9,16772.3,-0.0013,Stable,29.0,Fear,16836.736328125,13692758566
2023-01-06,16950.9,16829.8,17012.3,16707.6,0.0072,Up,26.0,Fear,16951.96875,14413662913
2023-01-07,16943.6,16950.9,16979.6,16909.7,-0.0004,Stable,25.0,Extreme Fear,16955.078125,7714767174
2023-01-08,17119.0,16943.6,17119.0,16913.8,0.0104,Up,25.0,Extreme Fear,17091.14453125,9768827914
2023-01-09,17180.1,17119.0,17390.8,17107.1,0.0036,Stable,25.0,Extreme Fear,17196.5546875,18624736866
2023-01-10,17439.1,17180.1,17491.0,17151.7,0.0151,Up,26.0,Fear,17446.29296875,15808338949
2023-01-11,17942.3,17440.5,17989.8,17323.9,0.0289,Up,26.0,Fear,17934.896484375,18372283782
2023-01-12,18851.3,17941.0,19055.3,17915.5,0.0507,Up,30.0,Fear,18869.587890625,34971338710
2023-01-13,19927.0,18850.8,19981.6,18723.8,0.0571,Up,31.0,Fear,19909.57421875,29225029694
2023-01-14,20958.2,19926.9,21185.6,19898.6,0.0516999999999999,Up,46.0,Fear,20976.298828125,38967784639
2023-01-15,20879.8,20956.0,21032.2,20585.7,-0.0037,Stable,52.0,Neutral,20880.798828125,19298407543
2023-01-16,21184.2,20880.1,21416.8,20698.9,0.0146,Up,45.0,Fear,21169.6328125,26792494050
2023-01-17,21137.1,21184.4,21506.4,20926.2,-0.0022,Stable,51.0,Neutral,21161.51953125,24999983362
2023-01-18,20670.6,21137.1,21584.1,20448.3,-0.0220999999999999,Down,52.0,Neutral,20688.78125,30005625418
2023-01-19,21081.2,20670.6,21169.4,20669.7,0.0199,Up,45.0,Fear,21086.79296875,21152848261
2023-01-20,22677.2,21074.9,22718.5,20879.3,0.0757,Up,51.0,Neutral,22676.552734375,28799154319
2023-01-21,22775.7,22677.5,23304.5,22461.1,0.0043,Stable,53.0,Neutral,22777.625,32442278429
2023-01-22,22707.8,22775.7,23068.7,22323.0,-0.003,Stable,53.0,Neutral,22720.416015625,24746386230
2023-01-23,22915.5,22709.0,23161.8,22527.9,0.0091,Up,50.0,Neutral,22934.431640625,26518700512
2023-01-24,22632.5,22916.3,23156.1,22517.1,-0.0123,Down,52.0,Neutral,22636.46875,26405069715
2023-01-25,23055.1,22632.5,23779.0,22366.3,0.0187,Up,51.0,Neutral,23117.859375,30685366709
2023-01-26,23016.0,23055.2,23259.5,22869.0,-0.0017,Stable,54.0,Neutral,23032.77734375,26357839322
2023-01-27,23074.6,23016.0,23480.3,22602.9,0.0025,Stable,55.0,Greed,23078.728515625,25383335641
2023-01-28,23027.9,23074.6,23182.3,22889.8,-0.002,Stable,52.0,Neutral,23031.08984375,14712928379
2023-01-29,23753.1,23023.5,23952.9,22973.3,0.0315,Up,55.0,Greed,23774.56640625,27423687259
2023-01-30,22832.2,23746.0,23794.0,22560.0,-0.0388,Down,61.0,Greed,22840.138671875,27205595568
2023-01-31,23125.1,22832.2,23262.9,22724.9,0.0128,Up,51.0,Neutral,23139.283203125,22837828665
2023-02-01,23725.6,23124.7,23784.5,22809.6,0.026,Up,56.0,Greed,23723.76953125,26683255504
2023-02-02,23427.6,23726.2,24207.2,23398.1,-0.0126,Down,60.0,Greed,23471.87109375,32066936882
2023-02-03,23431.2,23429.1,23694.1,23233.8,0.0002,Stable,60.0,Greed,23449.322265625,27083066007
2023-02-04,23323.8,23431.2,23571.8,23269.8,-0.0046,Stable,58.0,Greed,23331.84765625,15639298538
2023-02-05,22936.0,23326.9,23423.4,22766.5,-0.0166,Down,58.0,Greed,22955.666015625,19564262605
2023-02-06,22761.8,22936.0,23130.6,22633.7,-0.0076,Down,56.0,Greed,22760.109375,23825006542
2023-02-07,23251.7,22761.8,23338.8,22748.2,0.0215,Up,54.0,Neutral,23264.291015625,27187964471
2023-02-08,22964.6,23251.7,23425.1,22691.7,-0.0123,Down,58.0,Greed,22939.3984375,25371367758
